test_suite,test_name,test_root,matrix_identity,pair_case,case,seed,step,obstacle,mode,automatically_compute_sample_size,certification_status,classes,environment,first_count,first_fraction,log_file,nominal_resampling_baseline,num_scenarios,obstacles,occupancy,occupancy_fraction,profile,q,q_times_S,repeat,repeatable,run_id,safe_horizon_enabled,scenario_budget,solver_style,trial_error,trial_status
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,7,0,turn_right,false,not_requested,1,four_way_intersection,36,0.9,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,288,0.9,boost_0,0.875941,35.0377,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,8,0,constant_velocity,false,not_requested,1,four_way_intersection,0,0,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,0,0,boost_0,0,0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,8,0,turn_left,false,not_requested,1,four_way_intersection,5,0.125,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,40,0.125,boost_0,0.0652003,2.60801,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,8,0,turn_right,false,not_requested,1,four_way_intersection,35,0.875,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,280,0.875,boost_0,0.9348,37.392,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,9,0,constant_velocity,false,not_requested,1,four_way_intersection,9,0.225,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,72,0.225,boost_0,0.291126,11.645,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,9,0,turn_left,false,not_requested,1,four_way_intersection,0,0,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,0,0,boost_0,0,0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,9,0,turn_right,false,not_requested,1,four_way_intersection,31,0.775,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,248,0.775,boost_0,0.708874,28.355,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,10,0,constant_velocity,false,not_requested,1,four_way_intersection,5,0.125,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,40,0.125,boost_0,0.20281,8.11241,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,10,0,turn_left,false,not_requested,1,four_way_intersection,0,0,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,0,0,boost_0,0,0,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
fixed_budget_uncertified,fixed-budget-uncertified-short-horizon,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-concentration/fixed-budget-uncertified-short-horizon,b8da2d7f16938d7171608bd245ea59d61893279ccb794d61878695f0e2cea956,four_way_intersection_o1_c1_m3_boost_0_s40,sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,77,10,0,turn_right,false,not_requested,1,four_way_intersection,35,0.875,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0.log,false,40,1,280,0.875,boost_0,0.79719,31.8876,0,True,four_way_intersection_o1_c1_m3_boost_0_s40/seed_77/sh_mpcc_dro/repeat_0,false,40,sh_mpcc_dro,,OK
