step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
27,0,0,turn_left,turn_right,0.025678114876867768,28
27,0,0,turn_right,constant_velocity,0.0128702691076587,28
27,0,0,turn_right,turn_left,0.025678114876867768,28
27,0,0,turn_right,turn_right,0,28
28,0,0,constant_velocity,constant_velocity,0,29
28,0,0,constant_velocity,turn_left,0.012870269107658674,29
28,0,0,constant_velocity,turn_right,0.0128702691076587,29
28,0,0,turn_left,constant_velocity,0.012870269107658674,29
28,0,0,turn_left,turn_left,0,29
28,0,0,turn_left,turn_right,0.025678114876867768,29
28,0,0,turn_right,constant_velocity,0.0128702691076587,29
28,0,0,turn_right,turn_left,0.025678114876867768,29
28,0,0,turn_right,turn_right,0,29
29,0,0,constant_velocity,constant_velocity,0,30
29,0,0,constant_velocity,turn_left,0.012870269107658674,30
29,0,0,constant_velocity,turn_right,0.0128702691076587,30
29,0,0,turn_left,constant_velocity,0.012870269107658674,30
29,0,0,turn_left,turn_left,0,30
29,0,0,turn_left,turn_right,0.025678114876867768,30
29,0,0,turn_right,constant_velocity,0.0128702691076587,30
29,0,0,turn_right,turn_left,0.025678114876867768,30
29,0,0,turn_right,turn_right,0,30
30,0,0,constant_velocity,constant_velocity,0,31
30,0,0,constant_velocity,turn_left,0.012870269107658674,31
30,0,0,constant_velocity,turn_right,0.0128702691076587,31
30,0,0,turn_left,constant_velocity,0.012870269107658674,31
30,0,0,turn_left,turn_left,0,31
30,0,0,turn_left,turn_right,0.025678114876867768,31
30,0,0,turn_right,constant_velocity,0.0128702691076587,31
30,0,0,turn_right,turn_left,0.025678114876867768,31
30,0,0,turn_right,turn_right,0,31
31,0,0,constant_velocity,constant_velocity,0,32
31,0,0,constant_velocity,turn_left,0.012870269107658674,32
31,0,0,constant_velocity,turn_right,0.0128702691076587,32
31,0,0,turn_left,constant_velocity,0.012870269107658674,32
31,0,0,turn_left,turn_left,0,32
31,0,0,turn_left,turn_right,0.025678114876867768,32
31,0,0,turn_right,constant_velocity,0.0128702691076587,32
31,0,0,turn_right,turn_left,0.025678114876867768,32
31,0,0,turn_right,turn_right,0,32
32,0,0,constant_velocity,constant_velocity,0,33
32,0,0,constant_velocity,turn_left,0.01287026910765883,33
32,0,0,constant_velocity,turn_right,0.012870269107658807,33
32,0,0,turn_left,constant_velocity,0.01287026910765883,33
32,0,0,turn_left,turn_left,0,33
32,0,0,turn_left,turn_right,0.025678114876867823,33
32,0,0,turn_right,constant_velocity,0.012870269107658807,33
32,0,0,turn_right,turn_left,0.025678114876867823,33
32,0,0,turn_right,turn_right,0,33
33,0,0,constant_velocity,constant_velocity,0,34
33,0,0,constant_velocity,turn_left,0.01287026910765883,34
33,0,0,constant_velocity,turn_right,0.012870269107658807,34
33,0,0,turn_left,constant_velocity,0.01287026910765883,34
33,0,0,turn_left,turn_left,0,34
33,0,0,turn_left,turn_right,0.025678114876867823,34
33,0,0,turn_right,constant_velocity,0.012870269107658807,34
33,0,0,turn_right,turn_left,0.025678114876867823,34
33,0,0,turn_right,turn_right,0,34
34,0,0,constant_velocity,constant_velocity,0,35
34,0,0,constant_velocity,turn_left,0.01287026910765883,35
34,0,0,constant_velocity,turn_right,0.012870269107658807,35
34,0,0,turn_left,constant_velocity,0.01287026910765883,35
34,0,0,turn_left,turn_left,0,35
34,0,0,turn_left,turn_right,0.025678114876867823,35
34,0,0,turn_right,constant_velocity,0.012870269107658807,35
34,0,0,turn_right,turn_left,0.025678114876867823,35
34,0,0,turn_right,turn_right,0,35
35,0,0,constant_velocity,constant_velocity,0,36
35,0,0,constant_velocity,turn_left,0.01287026910765883,36
35,0,0,constant_velocity,turn_right,0.012870269107658807,36
35,0,0,turn_left,constant_velocity,0.01287026910765883,36
35,0,0,turn_left,turn_left,0,36
