step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
133,79.894407999999999,1,1,0,1.1101734697630072e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
134,77.492342000000008,1,1,0,6.4189751197498916e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
135,75.132209000000003,1,1,0,3.8800555227833926e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
136,78.46305000000001,1,1,0,2.1951438086736816e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
137,73.013065999999995,1,1,0,1.3882757203324584e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
138,74.082549999999998,1,1,0,7.4692301921396937e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
139,75.116970000000009,1,1,0,4.7091130498049044e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
140,72.37182,1,1,0,2.7243441089916635e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
141,74.748722000000001,1,1,0,1.5714811243320076e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
142,74.234842,1,1,0,9.6469779396060188e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
143,69.960848000000013,1,1,0,5.5941748042324605e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
144,72.794927000000001,1,1,0,3.0098072647339232e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
145,68.557056000000003,1,1,0,2.1639418997695339e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
146,69.328787000000005,1,1,0,1.0353878164828928e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
147,70.770876000000001,1,1,0,0.48660230830333823,20,1,0,-1,-1,-1,1,-1,-1,0,0
148,68.885824,1,1,0,0.074873242483739458,20,1,0,-1,-1,-1,1,-1,-1,0,0
