case,pair,profile,controller,seed,scenario_budget,step,attempt,obstacle_id,radius_observation_count,rho,min_vertex_distance,rho_over_min_vertex_distance,zero_min_vertex_distance,any_vertex_reachable,max_q,q_gt_0_9,q_near_one,q_exactly_one
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,50,0,0,51,0.0019196801765688914,0.004074712554702769,0.47112039212516255,0,0,0.4095238095238095,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,51,0,0,52,0.0018929790831985387,0.003998549703212998,0.473416419377619,0,0,0.40186915887850466,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,52,0,0,53,0.0018668797803701304,0.003925181818750375,0.4756161285197414,0,0,0.3944954128440367,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,53,0,0,54,0.0018537769836808353,0.003958632357746295,0.4682872305768289,0,0,0.40540540540540543,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,54,0,0,55,0.0018402518657067279,0.00399089880686647,0.4611121340737869,0,0,0.415929203539823,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,55,0,0,56,0.0018161324376298434,0.003921491871094875,0.4631228362390515,0,0,0.40869565217391307,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,56,0,0,57,0.0018027831011178327,0.003953290073862903,0.4560209515200761,0,0,0.4017094017094017,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,57,0,0,58,0.0017889273757452546,0.003984019429479033,0.4490257659158008,0,0,0.3949579831932773,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,58,0,0,59,0.0017667013441333653,0.00391816786866102,0.45089986017804573,0,0,0.3884297520661157,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,59,0,0,60,0.001753115634076764,0.003948468988406768,0.44399883580804245,0,0,0.3821138211382114,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,6,0,0,7,0.004342340114307695,0.0034009921958965787,1.276786262416858,0,1,0.8759412612045476,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,7,0,0,8,0.004413554698114876,0.0036515916208573786,1.2086660164584866,0,1,0.9347997020723029,1,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,8,0,0,9,0.004089061926173503,0.00385445782201616,1.0608656560767937,0,1,0.7088741465671062,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,9,0,0,10,0.004097738714248351,0.004022042944712475,1.0188202290667703,0,1,0.797189632952279,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,0,0,0,1,0.012750532197405169,0.005148107643063581,2.476741568250789,0,1,0.6,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,1,0,0,2,0.01529236887253553,0.00735443949009083,2.079338458510679,0,1,0.42857142857142855,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,10,0,0,11,0.008085524523406227,0.0072073507002888716,1.1218441920804767,0,1,0.44,0,0,0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,78,40,11,0,0,12,0.008134213410080528,0.007626826137871972,1.0665266603743673,0,1,0.779243873138224,0,0,0
