case,pair,profile,controller,seed,scenario_budget,step,attempt,obstacle_id,radius_observation_count,rho,mode,vertex_distance,rho_over_vertex_distance,zero_vertex_distance,vertex_reachable,nominal_probability,sampling_probability,risk_score
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,17,0,0,18,0.0031545561485274544,turn_left,0.0051807171029760605,0.6089033787842462,0,0,0.38461538461538464,0.2782159756077469,0.0640308560119372
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,17,0,0,18,0.0031545561485274544,turn_right,0.006363803718237635,0.49570292991391385,0,0,0.28205128205128205,0.7217840243922531,0.08473599168577645
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,18,0,0,19,0.0030383961447550865,constant_velocity,0.0036664354892348176,0.8287057425873863,0,0,0.36585365853658536,0.0,0.06730190887087092
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,18,0,0,19,0.0030383961447550865,turn_left,0.0052100326946858825,0.5831817807696644,0,0,0.36585365853658536,0.28582441377728934,0.0551823218095811
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,18,0,0,19,0.0030383961447550865,turn_right,0.006335407767739165,0.4795896738055362,0,0,0.2682926829268293,0.7141755862227106,0.07989988596837866
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,19,0,0,20,0.003003224847221956,constant_velocity,0.0037648192680157164,0.7977075746334124,0,0,0.3488372093023256,0.3488372093023256,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,19,0,0,20,0.003003224847221956,turn_left,0.004967705592607469,0.6045496842025235,0,0,0.3953488372093023,0.3953488372093023,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,19,0,0,20,0.003003224847221956,turn_right,0.006577253662206938,0.45660772739822403,0,0,0.2558139534883721,0.2558139534883721,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,2,0,0,3,0.0058688738432747444,constant_velocity,0.002569638548010831,2.283929717593109,0,1,0.5555555555555556,0.0,0.023035395289322885
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,2,0,0,3,0.0058688738432747444,turn_left,0.007057079684612056,0.8316292440443613,0,0,0.1111111111111111,0.0,0.022714716112345823
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,2,0,0,3,0.0058688738432747444,turn_right,0.004493725351546522,1.3060152510778085,0,1,0.3333333333333333,1.0,0.024992133379359738
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,20,0,0,21,0.0029271655137611307,constant_velocity,0.003854457822016074,0.7594234128186871,0,0,0.3333333333333333,0.0,0.021043667131848798
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,20,0,0,21,0.0029271655137611307,turn_left,0.005259589543993471,0.5565387734683588,0,0,0.37777777777777777,0.2910913095518607,0.010679124773956605
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,20,0,0,21,0.0029271655137611307,turn_right,0.006284931277220223,0.4657434400867138,0,0,0.28888888888888886,0.7089086904481394,0.03197213052596937
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,21,0,0,22,0.002833111974791154,constant_velocity,0.003690438340228171,0.7676898280370644,0,0,0.3617021276595745,0.0,0.008210682290091462
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,21,0,0,22,0.002833111974791154,turn_left,0.0052818064456545116,0.5363907223677297,0,0,0.3617021276595745,0.29738851652508286,0.0029014638353422745
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,21,0,0,22,0.002833111974791154,turn_right,0.006263516615764821,0.45231970290625795,0,0,0.2765957446808511,0.7026114834749172,0.01493369060267058
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,22,0,0,23,0.0028039332404028263,constant_velocity,0.0037757954174851495,0.7426073000190176,0,0,0.3469387755102041,0.3469387755102041,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,22,0,0,23,0.0028039332404028263,turn_left,0.005066222509097184,0.5534563938650408,0,0,0.3877551020408163,0.3877551020408163,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,22,0,0,23,0.0028039332404028263,turn_right,0.006478683059970186,0.43279370428343344,0,0,0.2653061224489796,0.2653061224489796,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,23,0,0,24,0.0027191569412985395,constant_velocity,0.0036277250089562837,0.7495488038882131,0,0,0.37254901960784315,0.0,0.0009827658565117608
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,23,0,0,24,0.0027191569412985395,turn_left,0.005094279929643147,0.5337666910442072,0,0,0.37254901960784315,0.32355113603701935,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,23,0,0,24,0.0027191569412985395,turn_right,0.006451349870678471,0.4214865099251815,0,0,0.2549019607843137,0.6764488639629807,0.004770652884697066
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,24,0,0,25,0.002688585632165663,constant_velocity,0.00370900658344939,0.7248802534249665,0,0,0.3584905660377358,0.3584905660377358,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,24,0,0,25,0.002688585632165663,turn_left,0.0049020429511660475,0.5484622756163591,0,0,0.39622641509433965,0.39622641509433965,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,24,0,0,25,0.002688585632165663,turn_right,0.006643189290607447,0.4047130850188105,0,0,0.24528301886792453,0.24528301886792453,0.0
sh_mpcc_dro_four_way_intersection_o1_c1_m3_boost_0_s40,four_way_intersection_o1_c1_m3_boost_0_s40,boost_0,sh_mpcc_dro,77,40,25,0,0,26,0.0026540332189165998,constant_velocity,0.0037843767707067474,0.7013131566233952,0,0,0.34545454545454546,0.34545454545454546,0.0
