budget_design,base_S,seed,method,attempt,success,dro_enabled,draws,cut_in_count,p_cut_in,q_cut_in,qp_calls,solve_ms
equal_max_draws,20,80,nominal_nominal,0,1,0,20,0,0.010484273589615577,0.010484273589615577,10,108.741455
equal_max_draws,20,80,wdro,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,350.481044
equal_max_draws,20,80,wdro_nominal,0,1,1,20,0,0.010484273589615577,0.029883644073199624,10,112.173647
equal_max_draws,40,77,nominal,0,1,0,80,0,0.010484273589615577,0.010484273589615577,10,157.03168100000002
equal_max_draws,40,77,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,123.483307
equal_max_draws,40,77,wdro,0,1,1,80,3,0.010484273589615577,0.029883644073199624,21,460.51408399999997
equal_max_draws,40,77,wdro_nominal,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,126.81124599999998
equal_max_draws,40,78,nominal,0,1,0,80,1,0.010484273589615577,0.010484273589615577,21,455.82013900000004
equal_max_draws,40,78,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,125.673277
equal_max_draws,40,78,wdro,0,1,1,80,2,0.010484273589615577,0.029883644073199624,21,454.928584
equal_max_draws,40,78,wdro_nominal,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,354.70541700000001
equal_max_draws,40,79,nominal,0,1,0,80,0,0.010484273589615577,0.010484273589615577,10,152.244473
equal_max_draws,40,79,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,121.735375
equal_max_draws,40,79,wdro,0,1,1,80,1,0.010484273589615577,0.029883644073199624,21,454.573486
equal_max_draws,40,79,wdro_nominal,0,1,1,40,0,0.010484273589615577,0.029883644073199624,10,125.05659899999999
equal_max_draws,40,80,nominal,0,1,0,80,0,0.010484273589615577,0.010484273589615577,10,151.828812
equal_max_draws,40,80,nominal_nominal,0,1,0,40,0,0.010484273589615577,0.010484273589615577,10,121.792661
equal_max_draws,40,80,wdro,0,1,1,80,2,0.010484273589615577,0.029883644073199624,21,449.12384800000001
equal_max_draws,40,80,wdro_nominal,0,1,1,40,1,0.010484273589615577,0.029883644073199624,21,346.93952999999999
