step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
19,0,0,constant_velocity,constant_velocity,0,20
19,0,0,constant_velocity,turn_left,0.0068334016107181031,20
19,0,0,constant_velocity,turn_right,0.0068334016107184032,20
19,0,0,turn_left,constant_velocity,0.0068334016107181031,20
19,0,0,turn_left,turn_left,0,20
19,0,0,turn_left,turn_right,0.013633479744650342,20
19,0,0,turn_right,constant_velocity,0.0068334016107184032,20
19,0,0,turn_right,turn_left,0.013633479744650342,20
19,0,0,turn_right,turn_right,0,20
20,0,0,constant_velocity,constant_velocity,0,21
20,0,0,constant_velocity,turn_left,0.006833401610717927,21
20,0,0,constant_velocity,turn_right,0.006833401610718607,21
20,0,0,turn_left,constant_velocity,0.006833401610717927,21
20,0,0,turn_left,turn_left,0,21
20,0,0,turn_left,turn_right,0.013633479744650245,21
20,0,0,turn_right,constant_velocity,0.006833401610718607,21
20,0,0,turn_right,turn_left,0.013633479744650245,21
20,0,0,turn_right,turn_right,0,21
21,0,0,constant_velocity,constant_velocity,0,22
21,0,0,constant_velocity,turn_left,0.0068334016107181716,22
21,0,0,constant_velocity,turn_right,0.0068334016107181117,22
21,0,0,turn_left,constant_velocity,0.0068334016107181716,22
21,0,0,turn_left,turn_left,0,22
21,0,0,turn_left,turn_right,0.01363347974465026,22
21,0,0,turn_right,constant_velocity,0.0068334016107181117,22
21,0,0,turn_right,turn_left,0.01363347974465026,22
21,0,0,turn_right,turn_right,0,22
22,0,0,constant_velocity,constant_velocity,0,23
22,0,0,constant_velocity,turn_left,0.0068334016107182349,23
22,0,0,constant_velocity,turn_right,0.0068334016107179027,23
22,0,0,turn_left,constant_velocity,0.0068334016107182349,23
22,0,0,turn_left,turn_left,0,23
22,0,0,turn_left,turn_right,0.013633479744650168,23
22,0,0,turn_right,constant_velocity,0.0068334016107179027,23
22,0,0,turn_right,turn_left,0.013633479744650168,23
22,0,0,turn_right,turn_right,0,23
23,0,0,constant_velocity,constant_velocity,0,24
23,0,0,constant_velocity,turn_left,0.0068334016107182566,24
23,0,0,constant_velocity,turn_right,0.0068334016107179027,24
23,0,0,turn_left,constant_velocity,0.0068334016107182566,24
23,0,0,turn_left,turn_left,0,24
23,0,0,turn_left,turn_right,0.013633479744650189,24
23,0,0,turn_right,constant_velocity,0.0068334016107179027,24
23,0,0,turn_right,turn_left,0.013633479744650189,24
23,0,0,turn_right,turn_right,0,24
24,0,0,constant_velocity,constant_velocity,0,25
24,0,0,constant_velocity,turn_left,0.0068334016107181889,25
24,0,0,constant_velocity,turn_right,0.00683340161071809,25
