constraint_type,path_config,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
chance-z1.645,S-curve-sp0.2,WDRO-inject-K1,0.139000,0.118936,0.161827,1.1302,0.4661,0.9569,0.916,1000
chance-z1.645,S-curve-sp0.2,WDRO-inject-K2,0.166000,0.144225,0.190331,1.1066,0.3934,0.9567,0.922,1000
chance-z1.645,S-curve-sp0.2,TopRisk-K1,0.162000,0.140464,0.186123,1.1010,0.4217,0.9569,0.921,1000
chance-z1.645,S-curve-sp0.2,TopRisk-K2,0.147000,0.126404,0.170298,1.1252,0.4618,0.9567,0.921,1000
chance-z1.645,S-curve-sp0.2,DiverseRisk-K1,0.166000,0.144225,0.190331,1.1045,0.4132,0.9566,0.922,1000
chance-z1.645,S-curve-sp0.4,Base,0.669000,0.639236,0.697471,0.7619,0.1552,0.9338,0.800,1000
chance-z1.645,S-curve-sp0.4,WDRO-sampling,0.190000,0.166889,0.215484,1.0731,0.3963,0.9559,0.922,1000
chance-z1.645,S-curve-sp0.4,WDRO-inject-K1,0.187000,0.164047,0.212348,1.0583,0.4472,0.9566,0.929,1000
chance-z1.645,S-curve-sp0.4,WDRO-inject-K2,0.212000,0.187794,0.238411,1.0330,0.3804,0.9566,0.939,1000
chance-z1.645,S-curve-sp0.4,TopRisk-K1,0.198000,0.174477,0.223834,1.0448,0.4173,0.9566,0.931,1000
chance-z1.645,S-curve-sp0.4,TopRisk-K2,0.194000,0.170681,0.219661,1.0541,0.4465,0.9563,0.934,1000
chance-z1.645,S-curve-sp0.4,DiverseRisk-K1,0.194000,0.170681,0.219661,1.0468,0.3948,0.9564,0.936,1000
chance-z1.645,Tight-S-sp0.2,Base,0.980000,0.969310,0.987016,0.3705,0.1112,0.9567,0.789,1000
chance-z1.645,Tight-S-sp0.2,WDRO-sampling,0.211000,0.186841,0.237371,1.0566,0.2237,0.9578,0.947,1000
chance-z1.645,Tight-S-sp0.2,WDRO-inject-K1,0.162000,0.140464,0.186123,1.0783,0.3757,0.9578,0.941,1000
chance-z1.645,Tight-S-sp0.2,WDRO-inject-K2,0.182000,0.159317,0.207117,1.0624,0.2676,0.9580,0.946,1000
chance-z1.645,Tight-S-sp0.2,TopRisk-K1,0.173000,0.150819,0.197684,1.0771,0.3328,0.9580,0.935,1000
chance-z1.645,Tight-S-sp0.2,TopRisk-K2,0.185000,0.162154,0.210257,1.0567,0.2668,0.9579,0.946,1000
