budget,seed,scheme,draws,cut_in_count,represented,expected_inclusion
80,10010,wdro_nominal_split_unconditional,80,0,0,0.80507788990694684
160,10001,nominal_single,160,1,1,0.81480377199879495
160,10001,nominal_split,160,1,1,0.81480377199879495
160,10001,wdro_single,160,5,1,0.99220506892248383
160,10001,wdro_nominal_split_unconditional,160,3,1,0.96200537099687167
160,10002,nominal_single,160,0,0,0.81480377199879495
160,10002,nominal_split,160,0,0,0.81480377199879495
160,10002,wdro_single,160,2,1,0.99220506892248383
160,10002,wdro_nominal_split_unconditional,160,1,1,0.96200537099687167
160,10003,nominal_single,160,3,1,0.81480377199879495
160,10003,nominal_split,160,3,1,0.81480377199879495
160,10003,wdro_single,160,6,1,0.99220506892248383
160,10003,wdro_nominal_split_unconditional,160,4,1,0.96200537099687167
160,10004,nominal_single,160,3,1,0.81480377199879495
160,10004,nominal_split,160,3,1,0.81480377199879495
160,10004,wdro_single,160,7,1,0.99220506892248383
160,10004,wdro_nominal_split_unconditional,160,5,1,0.96200537099687167
160,10005,nominal_single,160,2,1,0.81480377199879495
160,10005,nominal_split,160,2,1,0.81480377199879495
160,10005,wdro_single,160,6,1,0.99220506892248383
160,10005,wdro_nominal_split_unconditional,160,4,1,0.96200537099687167
160,10006,nominal_single,160,0,0,0.81480377199879495
160,10006,nominal_split,160,0,0,0.81480377199879495
160,10006,wdro_single,160,3,1,0.99220506892248383
160,10006,wdro_nominal_split_unconditional,160,1,1,0.96200537099687167
160,10007,nominal_single,160,1,1,0.81480377199879495
160,10007,nominal_split,160,1,1,0.81480377199879495
160,10007,wdro_single,160,1,1,0.99220506892248383
160,10007,wdro_nominal_split_unconditional,160,1,1,0.96200537099687167
160,10008,nominal_single,160,3,1,0.81480377199879495
160,10008,nominal_split,160,3,1,0.81480377199879495
160,10008,wdro_single,160,5,1,0.99220506892248383
160,10008,wdro_nominal_split_unconditional,160,3,1,0.96200537099687167
160,10009,nominal_single,160,2,1,0.81480377199879495
160,10009,nominal_split,160,2,1,0.81480377199879495
160,10009,wdro_single,160,5,1,0.99220506892248383
160,10009,wdro_nominal_split_unconditional,160,4,1,0.96200537099687167
160,10010,nominal_single,160,2,1,0.81480377199879495
160,10010,nominal_split,160,2,1,0.81480377199879495
160,10010,wdro_single,160,4,1,0.99220506892248383
160,10010,wdro_nominal_split_unconditional,160,2,1,0.96200537099687167
