test,condition,method,collision_rate,coll_ci_lo,coll_ci_hi,mean_clearance,mean_progress,mean_solve_ms,n_rollouts
B-state-noise,sn=0,WDRO-sampling,0.143000,0.122667,0.166065,1.0993,0.9577,0.935,1000
B-state-noise,sn=0,WDRO-inject-K1,0.164000,0.142344,0.188228,1.0716,0.9576,0.962,1000
B-state-noise,sn=0,WDRO-inject-K2,0.139000,0.118936,0.161827,1.0987,0.9580,0.955,1000
B-state-noise,sn=0,TopRisk-K1,0.115000,0.096683,0.136264,1.0993,0.9577,0.954,1000
B-state-noise,sn=0,TopRisk-K2,0.132000,0.112421,0.154395,1.0992,0.9578,0.944,1000
B-state-noise,sn=0,DiverseRisk-K1,0.124000,0.105000,0.145878,1.0905,0.9578,0.950,1000
B-state-noise,sn=10,Base,0.713000,0.684189,0.740181,0.7176,0.9333,0.836,1000
B-state-noise,sn=10,WDRO-sampling,0.167000,0.145166,0.191383,1.0914,0.9578,0.928,1000
B-state-noise,sn=10,WDRO-inject-K1,0.139000,0.118936,0.161827,1.0926,0.9581,0.938,1000
B-state-noise,sn=10,WDRO-inject-K2,0.159000,0.137646,0.182964,1.0739,0.9579,0.944,1000
B-state-noise,sn=10,TopRisk-K1,0.144000,0.123601,0.167124,1.0885,0.9579,0.931,1000
B-state-noise,sn=10,TopRisk-K2,0.132000,0.112421,0.154395,1.0972,0.9578,0.938,1000
B-state-noise,sn=10,DiverseRisk-K1,0.148000,0.127339,0.171356,1.0919,0.9579,0.935,1000
B-state-noise,sn=30,Base,0.653000,0.622961,0.681868,0.8204,0.9398,0.835,1000
B-state-noise,sn=30,WDRO-sampling,0.163000,0.141404,0.187176,1.1069,0.9584,0.928,1000
B-state-noise,sn=30,WDRO-inject-K1,0.159000,0.137646,0.182964,1.0969,0.9585,0.925,1000
B-state-noise,sn=30,WDRO-inject-K2,0.135000,0.115211,0.157583,1.1007,0.9584,0.932,1000
B-state-noise,sn=30,TopRisk-K1,0.157000,0.135769,0.180856,1.0997,0.9584,0.922,1000
B-state-noise,sn=30,TopRisk-K2,0.129000,0.109635,0.151204,1.1124,0.9587,0.920,1000
B-state-noise,sn=30,DiverseRisk-K1,0.159000,0.137646,0.182964,1.0873,0.9585,0.924,1000
B-state-noise,sn=50,Base,0.548000,0.517028,0.578605,1.0180,0.9422,0.823,1000
B-state-noise,sn=50,WDRO-sampling,0.131000,0.111492,0.153332,1.1843,0.9587,0.910,1000
B-state-noise,sn=50,WDRO-inject-K1,0.128000,0.108707,0.150140,1.1771,0.9589,0.913,1000
B-state-noise,sn=50,WDRO-inject-K2,0.140000,0.119868,0.162887,1.1769,0.9587,0.918,1000
B-state-noise,sn=50,TopRisk-K1,0.117000,0.098528,0.138403,1.1865,0.9589,0.913,1000
B-state-noise,sn=50,TopRisk-K2,0.138000,0.118004,0.160766,1.1701,0.9587,0.915,1000
B-state-noise,sn=50,DiverseRisk-K1,0.131000,0.111492,0.153332,1.1571,0.9586,0.916,1000
B-state-noise,sn=100,Base,0.362000,0.332794,0.392262,1.5277,0.9188,0.801,1000
B-state-noise,sn=100,WDRO-sampling,0.115000,0.096683,0.136264,1.5168,0.9589,0.899,1000
B-state-noise,sn=100,WDRO-inject-K1,0.078000,0.062947,0.096283,1.5385,0.9592,0.896,1000
B-state-noise,sn=100,WDRO-inject-K2,0.086000,0.070168,0.105000,1.4778,0.9589,0.900,1000
B-state-noise,sn=100,TopRisk-K1,0.113000,0.094840,0.134122,1.4992,0.9591,0.903,1000
B-state-noise,sn=100,TopRisk-K2,0.096000,0.079257,0.115836,1.5265,0.9589,0.902,1000
B-state-noise,sn=100,DiverseRisk-K1,0.092000,0.075614,0.111509,1.5038,0.9590,0.899,1000
