obstacle_speed,path,method,collision_rate,coll_ci_lo,coll_ci_hi,missed_mode_rate,mm_ci_lo,mm_ci_hi,rare_miss_rate,rare_ci_lo,rare_ci_hi,mean_clearance,p5_clearance,mean_progress,mean_solve_ms,n_rollouts
0.8,Gentle-S,TopRisk-K1,0.154000,0.125010,0.188266,0.000000,0.000000,0.000150,0.000000,0.000000,0.000326,1.0369,0.4741,0.9599,1.110,500
0.8,Gentle-S,TopRisk-K2,0.188000,0.156179,0.224578,0.000000,0.000000,0.000150,0.000000,0.000000,0.000325,1.0299,0.5029,0.9597,1.066,500
0.8,Gentle-S,DiverseRisk-K1,0.188000,0.156179,0.224578,0.000000,0.000000,0.000151,0.000000,0.000000,0.000332,1.0270,0.4924,0.9598,1.130,500
0.8,Gentle-S,Softmax-tau5,0.240000,0.204637,0.279328,0.000000,0.000000,0.000148,0.000000,0.000000,0.000327,0.9999,0.4261,0.9595,1.107,500
0.8,S-curve,Base,0.738000,0.697746,0.774624,0.760191,0.755140,0.765170,0.892958,0.887555,0.898131,0.6988,0.1675,0.9330,0.967,500
0.8,S-curve,WDRO-sampling,0.158000,0.128652,0.192563,0.046952,0.044370,0.049677,0.047533,0.043727,0.051653,1.0767,0.4151,0.9576,1.079,500
0.8,S-curve,WDRO-inject-K1,0.124000,0.097946,0.155788,0.000000,0.000000,0.000159,0.000000,0.000000,0.000353,1.0834,0.4493,0.9575,1.106,500
0.8,S-curve,WDRO-inject-K2,0.126000,0.099735,0.157968,0.000000,0.000000,0.000162,0.000000,0.000000,0.000359,1.1000,0.5564,0.9582,1.087,500
0.8,S-curve,TopRisk-K1,0.152000,0.123192,0.186115,0.000000,0.000000,0.000160,0.000000,0.000000,0.000349,1.0850,0.4752,0.9577,1.085,500
0.8,S-curve,TopRisk-K2,0.150000,0.121375,0.183962,0.000000,0.000000,0.000157,0.000000,0.000000,0.000343,1.0853,0.4333,0.9580,1.138,500
0.8,S-curve,DiverseRisk-K1,0.140000,0.112322,0.173168,0.000000,0.000000,0.000158,0.000000,0.000000,0.000346,1.0956,0.5430,0.9578,1.074,500
0.8,S-curve,Softmax-tau5,0.178000,0.146964,0.213946,0.000000,0.000000,0.000155,0.000000,0.000000,0.000332,1.0935,0.4003,0.9571,1.167,500
0.8,Tight-S,Base,0.968000,0.948655,0.980209,0.724569,0.717840,0.731198,0.865736,0.858030,0.873086,0.3906,0.1075,0.9557,0.981,500
0.8,Tight-S,WDRO-sampling,0.282000,0.244336,0.322989,0.054918,0.051965,0.058029,0.042258,0.038502,0.046362,0.9717,0.1662,0.9576,1.159,500
0.8,Tight-S,WDRO-inject-K1,0.246000,0.210280,0.285593,0.000000,0.000000,0.000182,0.000000,0.000000,0.000395,0.9836,0.2371,0.9580,1.138,500
0.8,Tight-S,WDRO-inject-K2,0.262000,0.225376,0.302254,0.000000,0.000000,0.000180,0.000000,0.000000,0.000393,0.9803,0.2198,0.9580,1.359,500
0.8,Tight-S,TopRisk-K1,0.258000,0.221596,0.298095,0.000000,0.000000,0.000181,0.000000,0.000000,0.000401,0.9716,0.2736,0.9581,1.246,500
0.8,Tight-S,TopRisk-K2,0.282000,0.244336,0.322989,0.000000,0.000000,0.000181,0.000000,0.000000,0.000394,0.9539,0.1668,0.9582,1.306,500
0.8,Tight-S,DiverseRisk-K1,0.234000,0.199004,0.273052,0.000000,0.000000,0.000182,0.000000,0.000000,0.000398,0.9731,0.2102,0.9578,1.211,500
