step,solve_ms,success,certificate_requested,certified,applied_control_effort,scenario_count,backup_available,backup_removal_budget_exceeded,backup_dro_failed,braking_collision_feasible,any_homotopy_geometrically_feasible,last_qp_converged,sqp_sampled_collision_feasible,fallback_sampled_collision_feasible,nominal_fallback_attempted,used_nominal_fallback
104,81.454560999999998,1,1,0,5.2451900973582398e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
105,81.894824,1,1,0,3.0810586151771319e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
106,81.864255999999997,1,1,0,1.8207789570919526e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
107,80.922783999999993,1,1,0,1.0727102422859963e-12,20,1,0,-1,-1,-1,1,-1,-1,0,0
108,81.910533999999998,1,1,0,6.2946518488151463e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
109,82.808684,1,1,0,3.7233769370303623e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
110,83.262854000000004,1,1,0,2.1942192216825041e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
111,77.527250000000009,1,1,0,1.2870353494200522e-13,20,1,0,-1,-1,-1,1,-1,-1,0,0
112,82.767834999999991,1,1,0,7.620854241424936e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
113,80.211659000000012,1,1,0,4.4951793579498565e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
114,77.695068000000006,1,1,0,2.5910135204153086e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
115,80.893298000000001,1,1,0,1.6080862032694462e-14,20,1,0,-1,-1,-1,1,-1,-1,0,0
116,78.382757999999995,1,1,0,8.9630686247902286e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
117,90.381478999999999,1,1,0,5.3150453247897578e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
118,79.652832000000004,1,1,0,3.3042065970907902e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
119,78.180746999999997,1,1,0,1.819605920633912e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
120,80.040194999999997,1,1,0,1.1106723902268972e-15,20,1,0,-1,-1,-1,1,-1,-1,0,0
121,77.854338999999996,1,1,0,6.5646114880381512e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
122,75.100668999999996,1,1,0,3.7217048173299686e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
123,76.262238999999994,1,1,0,2.5203524596642365e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
124,77.756276999999997,1,1,0,1.0043170647680643e-16,20,1,0,-1,-1,-1,1,-1,-1,0,0
125,76.024281000000002,1,1,0,9.7627308813023626e-17,20,1,0,-1,-1,-1,1,-1,-1,0,0
